keyword,position_desc
java,"1.参与银行核心产品开发，完成软件系统代码的实现；
2.分析并解决软件开发过程中的问题；
3.与团队成员充分沟通，保证产品研发进度和质量；
任职资格：
1.本科及以上学历，3年以上Java工作经验；
2.熟系微服务，有Springboot/Springcloud实际项目经验；
3.良好的沟通能力和团队协作能力；
4.可以进行简单的英语自我介绍。

职能类别：
Java开发工程师
关键字：
springbootjavaspringcloud
微信分享"
,
java,"1.审核中台开发和对接
2.全网数据抓取
3.图文后台开发和维护

任职要求
1、有3年以上的java开发经验；
2、Java基础扎实，熟悉IO/NIO、多线程、集合等基础框架；
3、精通springMVC、SpringBoot、Hibernate、Mybatis等框架；熟悉Ajax技术；
4、熟练使用mysql，Elasticsearch，有一定的优化经验；
5、熟悉Redis等缓存技术，有实际应用经验；
6、熟悉RocketMQ、dubbo、zookeeper；
7、熟悉Nginx网站部署方案；熟练使用Linux，了解shell；
8、有分布式系统开发设计经验，参与开发并成功运维过高并发大数据项目的优先考虑。
9、逻辑思维清晰，具有良好的沟通、团队协作，善于学习最新的技术和理念并应用在工作中，有视频网站开发经验优先考虑。
职能类别：
Java开发工程师
微信分享"
,
java,"1、根据系统设计，负责系统子模块的详细设计以及代码编写；
2、独立思考并解决系统中疑难故障；
3、能够独自完成新技术的预研工作，并能将技术原理讲清；
4、负责完成项目上的具体需求设计以及开发。

任职要求：
1、本科以上学历，三年以上工作经验，计算机或相关专业，熟悉JAVA开发以及WEB开发；
2、熟悉SpringCloud生态圈相关组件，并熟练使用SpringBoot进行JAVA Web 接口的开发；
3、熟悉HTTP协议，了解Restful接口，熟悉微服务架构，熟悉SOA架构；
4、熟练使用MySQL数据库，能够编写常见的SQL语句，熟练掌握Mybatis框架对数据库的操作，了解Mybatis底层原理；
5、了解Kafka、Redis、ElasticSearch等常用中间件。
职能类别：
Java开发工程师
关键字：
javaSpringCloudSpringBootSOAMySQL
微信分享"
,
java,"1） 协助推进集团财务信息化建设，负责财务相关项目过程管理、日常运维等
2）对供应商负责的项目进行关键节点控制，诸如调研方案、实现方案、开发方案、系统配置方案、人天费用、实施文档回收、验收会议等
3）协助财务部门进行核算流程，报表梳理，年度预算，共享财务建设
4）负责财务模块的功能设置，内部培训及日常运维，包括企业报表、合并报表及预算等系统配置
5）根据公司发展需求，帮助深化完善NC系统财务模块的应用；
6）用友NC ERP系统的功能开发及BUG修复；
7）ERP系统与其他系统的集成开发，系统版本迭代等。
8）完成上级领导安排的工作。
任职要求：
1）本科及以上学历，计算机、软件等相关专业优先，
2)  熟悉用友NC-UAP至少有三年以上NC开发经验；
3)  熟悉用友portal端 至少有一年以上开发经验；
4)  熟悉WAS下的部署配置；
5)  熟悉预算、市场营销、费用报销、供应链等至少三个模块以上的产品功能；
6)  熟悉掌握NC633产品定制化开发；
7)  具有良好的程序设计习惯及设计文档、接口文档等技术文档编写能力；
8)  具有良好的学习能力、沟通能力、协同能力和合作精神，能接受挑战并承担工作压力


职能类别：
Java开发工程师
关键字：
软件工程师java开发java软件开发软件工程师开发工程师
微信分享"
,
java,"1、  负责后端业务数据库的设计；
2、  完成后端业务代码接口的开发；
3、  与接口使用方合作，完成接口的对接；
4、  负责后端系统的部署；
5、  负责数据同步。
任职要求：
1、  本科及以上学历，计算机专业或有软件开发背景；
2、  具备强烈的进取心、求知欲及团队合作精神，有较强的沟通及协调能力；
3、  有JAVA编程基础，有软件项目实践经验者优先；
4、  熟悉Mysql、PostgreSQL等数据库，熟练运用SQL语句；
5、  熟悉SpringCloud的微服务架构，有分布式系统开发经验优先；
6、  熟悉Nginx/Redis/Solr/MongoDB/Kafka/FastDFS/Zookeeper等中间件优先
职能类别：
Java开发工程师
关键字：
java\开发
微信分享"
,
java,"主要岗位职责: 
1. 负责业务平台架构设计，对架构业务合理性、可扩展性和快速迭代负责； 
2. 深入理解分析业务需求，为软件开发和运行环境要求等提供架构设计、模型设计； 
3. 与开发团队一起完成概要设计设计，评审概要设计、详细设计，参与代码评审，帮助开发团队提高开发质量； 
4. 配合产品经理、项目经理进行项目决策，进行技术风险评估，提高开发速度； 
5. 主持并参与制定设计及实现规范，指导设计、实现及部署工作； 
6. 负责系统的接口设计、控制和管理。 

任职资格要求： 
1. 本科及以上学历；金融类、电子商务、计算机、通信等相关专业毕业； 
2. 5年及以上软件开发或架构或管理的工作经验，三年以上电子商务、互联网金融或银行支付系统开发工作经验； 
3. 熟悉产品管理、开发的整个流程，深厚的系统架构设计基础和丰富的实施经验； 
4. 精通系统架构设计与开发工作所涉及到相关软件语言及开发工具； 
5. 有大局观，能从业务角度考虑问题，视野广阔，具有良好的前瞻性，思路清晰、逻辑性强、具备良好的沟通能力、理解能力和团队协作意识。 
6. 有etom,togaf等架构方法论经验的优先
职能类别：
系统架构设计师
关键字：
java支付金融架构
微信分享"
,
java,"1. 根据系统概要设计编写模块的详细设计，并实现；
2. 把控模块的开发进度和质量；
3. 配合项目经理推动框架的持续更新和优化；
4. 负责系统上线部署和运行平稳；
5. 参与项目的需求调研和框架设计；
6. 参与项目的软件开发架构设计；
7. 参与项目的运行环境架构设计；
岗位要求：
1、***本科及以上，计算机相关专业；
2、具有3年以上的java研发经验，精通JVM调优、多线程编程模型，熟练使用各种线上调试和问题排查工具；
3、扎实的java基础知识功底，熟悉SprinCloud、redis、mongodb、kafka、Zookeper、Mybatis 等开源框架的实现原理和相关应用场景；
4、在中间件的使用和开发上有丰富经验，能够抽象系统中的模块和设计系统开发框架； 
5、熟悉linux系统、sql、存储过程等数据技术语言，熟悉大数据技术优先；
6、精通性能调优，SQL调优等方案,能自主搭建微服务技术架构进行应用开发。
7、学习能力强，愿意去关注和尝试新技术，具有良好的编码习惯，乐于和团队成员沟通、分享。
职能类别：
Java开发工程师
微信分享"
,
java,"工作职责:
1. 根据产品经理项目规划，参与产品模块设计，参与产品功能迭代开发；
2. 负责产品使用过程中的优化工作，解决系统开发，运行中出现的各种问题；
3. 参与设计文档编写和相关技术资料维护；
4. 协助运营团队处理项目上用户反馈的问题，保障业务正常运行。
任职资格:
1. 本科及以上学历，计算机相关专业，2年或以上的面向对象的软件开发经验；
2. 熟悉B/S系统架构，熟练掌握JAVA开发环境和开发工具；
3. 熟悉常用的数据库系统，譬如：ORACLE，MySQL 等；
4. 深入理解面向对象，熟练使用Spring、SpringBoot、SpringCloud、SpringMVC、Mybatis等框架；
5. 熟悉Web的相关技术，如HTML5/JavaScript/CSS/jQuery/Ajax/JSP/Freemarker等；
6. 工作认真、严谨细致，具有责任心；
7. 具备团队合作精神。
职能类别：
其他
关键字：
前端开发
微信分享"
,
java,"工作职责:
1、参与产品的需求分析与设计工作；
1. 负责机票&酒店系统的设计和开发工作；
2. 对生产系统进行性能调优，排错以及重构；
3. 作为技术专家，指导和解决开发过程中遇到的各类技术难题，保证软件开发正常进行，进行团队之间技术分享。

任职资格:
1. 专科以上学历，计算机、软件工程及相关专业毕业；
2. 6年以上Java开发经验，了解Java的开发和应用，熟悉高并发、高性能的分布式系统的设计及应用；
3、熟悉Linux、Nginx、MySQL，了解并能使用k8s、docker、openstack，熟悉阿里云的云计算产品；
4、熟悉MVC模式，熟练掌握Spring mvc，jpa，mycat；熟悉分布式服务框架：Dubbo、MQ、Zookeeper、Spring Cloud Config；
5. 有大型互联网后台服务设计经验；熟悉传统模式的软件开发，也熟悉敏捷开发
6、熟悉软件开发生命过程，熟悉软件优化及重构；
7、精通面向对象分析设计，熟悉设计模式，具备平台领域大型系统设计、开发、调优经验；
8、具备较强的工作主动性及创新精神；
9、具有较强的沟通能力和协调能力，责任心强，良好的团队合作精神；
10、思维敏捷、清晰，做事认真、有条理；

有机票或酒店系统研发背景优先考虑！
职能类别：
Java开发工程师
微信分享"
,
java,
,
java,"1.根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；
2.负责软件开发技术和规范及标准流程的改进；
3.按项目计划，按时完成开发任务，及相关开发文档的整理和编写；
4.根据开发进度和任务分配，完成相应模块软件的设计、开发、单元测试、缺陷修复；
用人要求：
1、计算机或相关专业，3年以上java开发相关工作经验；【本科3年，专科4年】
2、具备扎实的Java编程基础，掌握常用的算法和设计模式；
3、具有良好的面向对象编程经验，熟练使用Spring cloud，Spring Boot,Dubbo,Mybatis等开源框架；
4、熟练掌握XML、Json、JavaScript、Html5、css3、JQuery等前端技术；
5、熟悉多线程、消息队列，熟悉常用的缓存memcached、redis具备网站性能调优能力；
6、了解nginx、jenkins、docker； 
7、精通sql，熟悉mysql等主流关系型数据库；
8、良好的代码编写习惯,有良好的团队合作精神和敬业精神，能够承担一定工作压力；
9、有springCloud微服务、高并发、分布式项目经验优先考虑。
入职六险一金，八小时工作制，周末双休，如果有加班可选择调休或是加班费哦
每季度都有评优奖励1000-2000元
根据能力，就近分配。工作地址：
 彩讯：深圳市南山区高新南区科苑南路3176号  彩讯科创中心 （地铁：科苑）
       软基：深圳市南山区学府路软件产业基地 （地铁：科苑）
       航空：深圳市宝安区宝安机场航站四路1111号（地铁：后瑞）
深大地铁站这里------深投控创智天地大厦
职能类别：
Java开发工程师
关键字：
java软件开发软件工程师软件开发开发工程师java开发
微信分享"
,
java,"岗位职责：
1. 负责公司电商平台的开发与管理
2. 负责项目技术架构中部分模块的设计实施
3. 编写核心代码，解决项目技术难题
任职资格：
1. 统招本科及以上学历，计算机或相关专业。
2. 4年以上JAVA开发经验，精通JAVA语言，理解JVM原理和性能调优，有抽象设计能力，熟悉代码重构，能够用面向对象原则组织代码，熟悉mvc等N层开发模式。
3. 熟悉J2EE相关技术，熟悉SpringBoot，Springmvc，Spring、Struts、Hibernate、Mybatis等开发框架，并理解其原理。
4. 熟悉Mysql处理机制与应用场景限制，熟悉NoSQL Redis、MongoDB等。
5. 熟悉linux操作系统，熟悉SVN、Git操作。
6. 熟练使用和配置一种或一种以上的主流应用服务器（WebLogic、 JBOSS、Tomcat)。
职能类别：
Java开发工程师高级软件工程师
微信分享"
,
java,"1、3年以上java开发经验，java基础扎实，深入理解IO，多线程，对jvm原理熟悉；
2、熟悉sring、mybatis等使用，了解其原理和实现机制；
3、熟悉sql.熟悉oracle、mysql等；
4、熟悉redis等缓存技术；
5、熟悉linux的常用命令；
6、熟悉javascrip、php者优先；
7、有互联网分布式大数据高并发相关经验优先


公司介绍：

       深圳市领佳物联科技有限公司成立于2011年，是由一群从事多年无线通讯行业资深专家组成的团队，具有多年的物联网产品开发经验，对宽带，工业物联网及车联网等应用场景有资深的经验与理解。公司专注于研发销售3G/4G/5G/WIFI工业路由，4G/5G边缘计算网关，4G LTE/5G CPE，DTU，2G/3G/4G/NB/CAT M跟踪器，OBD，4G 车载T-BOX等终端。同时，公司为客户提供设备远程管理，物联网卡流量管理，电力/车载/工业自动化应用管理等云平台，APP，小程序。为客户提供完整的终端，边缘计算，管道服务，云平台的系统整体解决方案。为工业设备连接，安防监控，电力安全监测，工业自动化，车辆防盗，物流追踪，资产跟踪，能源监测，数据分析，宽带覆盖等提供可靠的数据链路及监测运维管理解决方案。
       为了解决各种实际应用场景客户及合作伙伴碰到方案集成与实施困难，我司针对新零售，能源监测，电力安全，梯联网，车联网，宽带覆盖，资产追踪等应用提供一整套系统解决方案及差异化需求解决方案定制服务。目前已经在新零售，车联网、物流、电力，安防，能源设备，宽带覆盖等市场取得良好的反应，产品已成功销往全球70多个国家地区，并得到市场高度认可。
职能类别：
PHP开发工程师Java开发工程师
关键字：
java软件开发java开发
微信分享"
,
java,"岗位职责： 
1、参与核心业务系统的需求分析，负责系统的设计和开发、撰写技术文档； 
2、参与关键技术问题的攻关，改进现有模块功能，提高系统的健壮性，稳定性以及性能 ； 
3、参与系统模块切分，外部接口设计，模块间接口设计，数据模型设计等工作； 
4、线上系统问题快速定位与解决 ，负责系统的设计和开发，改进现有模块功能，模块间接口设计； 

任职要求 
1、计算机科学或相关专业领域的本科及以上学历。 
2、有3年以上java开发经验，Java基础扎实，对JVM运行原理与常用配置有一定了解。 
3、熟悉面向对象设计原则，掌握常用设计模式及应用场景。 
4、熟悉Java常用技术框架和第三方类库。 
5、熟悉Mysql、Oracle等常用数据库系统，有SQL语句性能调优经验。 
6、编码风格良好，遵守规范，对代码的整洁、优美、可读性有所追求。 
7、责任心强，学习能力强，有技术热情，具备良好的沟通能力和团队合作精神。 
8、熟悉Unix/Linux常用操作，具备服务器运维能力者优先考虑。址
职能类别：
Java开发工程师
关键字：
javajava开发开发开发工程师
微信分享"
,
java,"工作职责：
负责信用卡中心自动化、AIOps及相关平台的设计和研发工作，包括：
1.根据实际工作需要，设计数据中心及应用系统全生命周期自动化及智能化解决方案，包括但不限于资源交付、配置管理、监控告警、任务调度、流程管理、数据分析展示等；
2.协同各相关团队进行解决方案的架构设计及前端/后端开发，或对存量的系统进行架构优化及重构；
3.分析现有自动化系统应用，进行不断迭代优化，使系统朝更高的智能化目标演进；
4.按照规范进行开发过程相关文档的编写及维护。

任职资格：
1、2年以上的Java开发及应用经验，***本科及以上学历，计算机或者相关专业优先；
2、熟悉JVM原理，能进行JVM相关的问题排查及性能调优；
3、熟练掌握Spring Boot，Spring Cloud，Mybatis等后端技术，对以上至少一项技术的原理有深入的研究；
4、熟悉JavaScript以及HTML, CSS的相关知识，能够很好的跟前端进行联调；
5、熟悉Nginx、Redis、MySQL等常用中间件和数据库。
职能类别：
Java开发工程师
关键字：
javaJavaScript
微信分享"
,
java,"1.   负责平台技术研发及业务功能的开发工作；
2.   负责程序开发相关文档的编写，建立完整的项目档案；
3.  参与公司项目支持，解决产品在使用过程中的各种问题。
任职要求：
1.   ***大学本科及以上学历限；
2.   2年以上软件或物联网开发工作经验；
3.   熟悉Java开发，深入了解Java EE平台和Spring Framework开发框架；
4.   精通JSP、Servlet、Java Script、JQuery等Web编程技术；

职能类别：
Java开发工程师
关键字：
java软件开发物联网开发Web编程
微信分享"
,
java,"3年及以上Java后端开发经验；
拥有丰富的Java/J2EE知识和经验以及多层架构软件系统的设计和实施经验；
熟悉常见的开源框架及产品；
熟悉软件工程理论、有较强的系统分析能力，精通UML、设计模式和软件架构； 
熟悉各类服务端规划、部署、治理，熟悉Tomcat、Nginx、Docker等； 
熟悉MySQL、PG、Oracle等数据库；熟悉Linux操作系统；
职能类别：
Java开发工程师
关键字：
Javajava软件开发java开发
微信分享"
,
java,"工作职责:
1．  负责RDM、PLM系统的部分功能模块设计，开发及单元测试；
2．  协助并快速定位及解决开发及运行过程中的技术问题；
任职资格:
1、本科学历，1-3年工作经验，计算机相关专业优先；
2、熟练使用SpringBoot、MyBatis、Vue、JQuery、Java、Sql等主流的开发框架和开发语言；
3、熟悉Linux操作系统基本命令，能独立完成Linux系统中间件安装配置及程序部署，如Jdk、tomcat等；
4、熟悉数据库相关知识，能够熟练应用主流的一种数据库进行开发；
5、代码思路清晰，能独立解决问题的思路和能力。
职能类别：
Java开发工程师
微信分享"
,
java,"福利待遇：
培训：新人入职，一对一带教；
五险，不定时现金奖励，团建；
生日假、节假日等各种福利；
朝9:00晚18:00，周末单双休；

【岗位职责】 
1、参与产品需求的沟通，完成详细设计及其它技术文档编写；
2、独立完成功能的编码，对编写的程序进行严格的自测，进行系统故障的诊断、定位、分析和调试；
3、负责公司平台项目的编码、优化和维护工作，能够快速定位并及时修复软件缺陷； 

【任职资格】 
1、大专以上学历，计算机相关专业，3年以上使用Java进行web开发的经验； 
2、JAVA基础扎实，熟悉io、多线程、集合等基础框架，熟悉分布式、缓存、消息等机制； 
3、精通Spring、SringMvc、Mybatis、Springboot、SpringCloud等主流框架；熟悉常用的Vue.js、ElementUI等前端框架；
4、精通MySQL，熟悉Redis/MongoDB，熟悉常用的数据库优化策略； 
5、熟悉Maven项目构建工具，熟悉Git版本控制，熟练使用IDEA； 
6、熟悉Linux下的常用命令，熟练使用Tomcat、Jetty，docker、Jenkins；
7、熟悉常用的设计模式，良好的代码规范，良好的沟通能力和学习能力，热衷于技术； 
8、了解常用的分布式中间件，如 nacos、rocketmq、kafka等，了解其基本原理和使用方法； 
9、有小程序、支付、ERP后台管理系统相关项目经验优先
职能类别：
Java开发工程师
关键字：
java
微信分享"
,
java,"主要开发MES、仓储物流系统、运载系统，主要是生产管理方面的系统，和经销存系统（供应链管理）。
1、负责项目系统需求分析和系统设计；
2、负责系统开发、交付； 
3、负责项目计划的制定、工作作任务的分配、项目进度跟踪；
4、负责项目团队管理。

任职要求：
 1、计算机或相关专业，***本科以上学历，具有5年以上开发经验；
 2、熟悉主流IT开发技术和数据库；能进行良好的系统设计；
 3、熟悉前后端开发技术；
 4、精通JAVA体系架构和设计模式，精通主流的开源框架；
 5、熟悉SQLSERVER/MYSQL/ORACLE等主流数据库；有数据库设计、性能调优经验；
 6、具有高度的责任心，工作主动积极，能承担工作压力。
 7、具有一定的项目管理经验和团队管理经验；
 8、有制造行业系统开发经验优先。
职能类别：
Java开发工程师
关键字：
java开发java开发开发工程师
微信分享"
,
java,"职位职能: JAVA软件工程师 
工作地点：上海科江电子信息技术有限公司（上海总部）
职位描述:
1、计算机或相关专业大学本科及以上学历，两年以上Java项目开发经验；
2、熟悉面向对象编程思想，具有扎实的Java语言基础；
3、熟悉HTML、JavaScript、AJAX、CSS、Jquery，熟悉webservice开发服务端和客户端；
4、熟悉struts2、spring、hibernate等开发框架 （springMVC 框架）；
5、熟悉tomcat等流行的Web服务器以及应用服务器；
6、熟练掌握oracle、SQL Server、mysql等常用数据库，具有良好的sql语言基础；
7，具有一定的Android基础，（能够修改Android APP程序）
8、勤奋踏实、学习能力强，具有良好的团队合作能力和沟通能力,能够自主完成项目开发和用户沟通；
9、具有责任信强，能够适应外地出差优先；
职能类别：
Java开发工程师
关键字：
java软件开发java开发ccsmvc开发springMySQL
微信分享"
,
java,"1、能带领团队进行软件开发，并负责解决软件日常维护中的疑难问题；
2、根据研发进度和任务分配，完成复杂模块的开发工作；
3、参与项目的需求调研和需求分析、软件概要设计和详细设计编写及编码实现；
4、根据公司技术文档规范编写相应的技术文档；
5、指导帮助初级软件工程师解决开发中遇到的难点；
6、兼顾项目软件开发、由于组织结构或业务流程变化所产生的新工作任务、领导交办的其他任务；

任职要求：
1、具有计算机、数学、通信相关专业专科及以上学历，2年及以上Java开发工作经验；
2、熟悉并掌握JAVA开发语言和工具，扎实的程序设计和软件开发基础知识；
3、熟练掌握基于Web的应用程序开发,理解SpringMVC，SpringBoot、Hibernate、Mybatis、SpringCloud等主流框架开发过程；
4、熟练掌握Web前端技术Html、Css、Javascript、Ajax，了解Bootstrap、VUE或其它框架中的一种；
5、熟练掌握MYSQL、PostgreSQL和Oracle数据库其中一种，有一定的数据库设计能力，了解数据库的体系、开发、性能优化等技术者优先虑；
6、熟练使用SVN、Git和Maven 了解Redis、ActiveMQ， 具有一定文档撰写能力；
7、熟悉Nginx 和Tomcat其中一种应用服务器的部署；
8、编码规范，结构清晰，有效编码能力较强，做为储备干部培养；
9、了解Tapestry、Coldfusion、ZK等技术框架者优先考虑；
职能类别：
软件工程师
微信分享"
,
